geneName	HEK293_2h	HMECs_1h	HMECs_24h	MCF10A_2h	M231_1h	SUM159PT_1h	SUM159PT_24h
RARA	0.20486439469982	-0.313947	-0.486102	-1.01509	-0.688147	1.61472	0.87102
FIGNL1	0.143542357029088	0.00785659	-0.558964	-1.01017	0.301599	-0.166651	-0.592554
KMT5C	0.752297917292661	0.00615199	2.2529	2.7728	0.230148	1.30525	-0.262601
VAV3	NA	0.387111	1.08321	3.45914	0.749258	4.97612	-0.309144
GPNMB	NA	0.337358	3.05551	3.40667	-0.402745	3.67305	-1.08675
PLAA	0.717450035238246	0.0130273	-0.491689	-1.0128	0.127639	-0.058184	-0.169214
PIM1	0.565971658837755	-0.367635	-0.284818	4.32421	-0.310448	-0.210187	-0.555228
CCNG2	0.657338329019615	-0.419816	-0.209854	3.21075	0.110715	-0.263427	0.971582
GABARAPL1	0.361455615045556	-0.385108	0.658715	2.72217	0.120352	-1.80628	-0.0769037
CLTC	0.532608472167013	0.0410296	-0.127512	-1.02176	0.0557012	-0.171984	0.11508
GRB7	NA	-0.436134	-0.355785	3.06682	-0.736169	4.38355	0.498211
FEM1A	0.830048226557574	0.121629	-0.341285	-1.0284	-0.44022	-0.478257	-0.339518
RPS8	0.824621018235267	0.0516237	-0.641009	-1.02879	0.334221	-0.541388	-0.400284
DPT	NA	0.337358	0.243678	3.23674	-0.250742	0.213621	-0.501789
RORC	NA	-0.247605	0.243678	3.23674	-2.25074	0.143231	1.56533
VPS54	0.522201380623513	-0.0218918	-0.0763128	-1.03335	-0.110007	-0.238506	0.63771
LYAR	0.834585519417025	0.101291	-0.970619	-1.0148	0.122416	-0.440964	-0.173735
SLC18B1	0.456109308006888	-0.0850971	0.0916744	-1.03456	0.597255	-0.962702	0.666717
LRP12	0.718386782598054	-0.050528	-0.214353	-1.0166	0.131234	-0.935471	0.0315478
EIF3M	0.98738956178544	0.0365234	-0.506595	-1.0335	0.141367	-0.175766	-0.0171362
TMEM86A	NA	0.507283	0.565606	2.82171	-0.00973369	2.79858	1.08317
SACS	0.550144360294989	0.116995	-0.803003	-1.00688	0.19033	0.216888	0.15652
NR4A2	0.761066178060855	-0.469997	0.243678	4.55867	0.0387648	-0.155613	0.791942
DIPK1A	0.422270610805977	-0.148069	0.0212851	-1.01118	-0.336898	-0.220475	0.71898
ADAMTS5	0.255270804958931	1.33736	0.243678	3.17534	-0.250742	1.21362	0.498211
FBXO32	0.954190533614838	0.277652	0.976739	3.55377	-0.238618	-0.371342	0.555201
CSRP1	0.844229114422916	-0.00431964	-0.181537	-1.00369	-0.0366974	-0.0160277	-0.0533654
DEDD2	0.35014340847899	0.0436267	-0.146269	3.03192	-0.400984	0.0531559	-1.04928
ADORA1	NA	1.33736	0.243678	2.82171	0.656149	2.79858	0.498211
PRKCD	0.633682646698567	-0.0879115	-0.643593	-1.00189	0.0519643	0.13962	0.681811
OTUD4	0.844314750531138	-0.130339	-0.488126	-1.00426	0.0195103	-0.230682	0.467467
FOXQ1	0.721801579087024	-0.847067	-0.815216	3.14363	0.0624161	-2.24581	-1.63929
CREBRF	0.208387182247451	-0.31117	0.473159	3.97145	-0.230493	-0.851474	0.192108
ZNF219	0.795403983400256	-0.0776796	0.276099	2.82171	-1.20344	0.64658	-0.300155
FRAT1	NA	0.489361	0.395681	2.73924	-1.38825	1.02098	-2.50179
PLEKHA7	0.864339821083383	-0.0445127	0.0526292	-1.03335	-0.0884704	1.71612	-0.764823
ZNF608	0.943938743866813	0.421259	1.29877	3.11121	-0.352144	0.891692	0.761245
ROR2	0.865906454563538	1.92232	1.82864	4.8806	0.136281	2.68755	-0.349786
FAM110B	0.763708189764577	-0.0776796	-0.17136	3.40667	0.749258	0.728194	0.275819
EFNA1	0.557262498612727	0.18798	0.29022	2.82514	-0.250742	0.28401	0.191233
MMGT1	0.708220130442542	0.051449	-0.266272	-1.00426	0.111828	-0.869369	0.434081
UGP2	0.998062716739515	0.0944086	-0.298325	-1.02794	0.0603281	-0.736281	0.0677982
FAXDC2	NA	0.337358	2.15057	2.79474	0.749258	1.21362	1.49821
RSL1D1	0.372654505981151	0.0408928	-0.825356	-1.00385	0.0990994	-0.458967	-0.11846
BCL2L1	0.833113536631516	0.0624981	-0.0949079	-1.00387	0.196717	0.0878088	0.057197
YPEL2	0.161095337584748	-0.0252122	-0.604319	3.93718	-2.0581	-0.786379	1.89053
